name,category,parent,synonyms,finding_type,finding_cluster,oifm_id
neuroendocrine_tumor_grade_2,neuroendocrine,neuroendocrine_tumor_of_breast,"Atypical carcinoid-like,NET G2",diagnosis,,
neuroendocrine_carcinoma_of_breast,neuroendocrine,neuroendocrine_neoplasm_of_breast,NEC breast,diagnosis,,
small_cell_neuroendocrine_carcinoma_of_breast,neuroendocrine,neuroendocrine_carcinoma_of_breast,"SCNEC breast,Small cell carcinoma of breast",diagnosis,,
large_cell_neuroendocrine_carcinoma_of_breast,neuroendocrine,neuroendocrine_carcinoma_of_breast,"LCNEC breast,Large cell neuroendocrine carcinoma of breast",diagnosis,,
fibroepithelial_neoplasm,fibroepithelial,,,,,
fibroadenoma,fibroepithelial,fibroepithelial_neoplasm,Fibroadenoma of breast,diagnosis,,
complex_fibroadenoma,fibroepithelial,fibroadenoma,,diagnosis,,
phyllodes_tumor,fibroepithelial,fibroepithelial_neoplasm,"Cystosarcoma phyllodes,Phylloides tumor",diagnosis,,
phyllodes_tumor_benign,fibroepithelial,phyllodes_tumor,,diagnosis,,
phyllodes_tumor_borderline,fibroepithelial,phyllodes_tumor,,diagnosis,,
phyllodes_tumor_malignant,fibroepithelial,phyllodes_tumor,,diagnosis,,
hamartoma,fibroepithelial,fibroepithelial_neoplasm,"Fibroadenolipoma,Breast hamartoma",diagnosis,,
nipple_tumor,nipple_tumor,,,,,
syringomatous_tumor,nipple_tumor,nipple_tumor,"Syringomatous adenoma,Infiltrating syringomatous adenoma",diagnosis,,
nipple_adenoma,nipple_tumor,nipple_tumor,"Florid papillomatosis of nipple,Erosive adenomatosis",diagnosis,,
paget_disease_of_nipple,nipple_tumor,nipple_tumor,"Paget disease,Nipple Paget disease,Mammary Paget disease",diagnosis,,
mesenchymal_tumor_of_breast,mesenchymal,,,,,
vascular_tumor_of_breast,mesenchymal,mesenchymal_tumor_of_breast,,diagnosis,,
hemangioma_of_breast,mesenchymal,vascular_tumor_of_breast,Hemangioma,diagnosis,,
perilobular_hemangioma_of_breast,mesenchymal,hemangioma_of_breast,Perilobular hemangioma,diagnosis,,
capillary_hemangioma_of_breast,mesenchymal,hemangioma_of_breast,Capillary hemangioma,diagnosis,,
cavernous_hemangioma_of_breast,mesenchymal,hemangioma_of_breast,Cavernous hemangioma,diagnosis,,
angiomatosis_of_breast,mesenchymal,vascular_tumor_of_breast,Angiomatosis,diagnosis,,
atypical_vascular_lesion_of_breast,mesenchymal,vascular_tumor_of_breast,"AVL,Atypical vascular lesion",diagnosis,,
postradiation_angiosarcoma_of_breast,mesenchymal,vascular_tumor_of_breast,"Post-radiation angiosarcoma,Secondary angiosarcoma",diagnosis,,
primary_angiosarcoma_of_breast,mesenchymal,vascular_tumor_of_breast,"Primary angiosarcoma,Angiosarcoma of breast",diagnosis,,
fibroblastic_myofibroblastic_tumor_of_breast,mesenchymal,mesenchymal_tumor_of_breast,,diagnosis,,
nodular_fasciitis_of_breast,mesenchymal,fibroblastic_myofibroblastic_tumor_of_breast,Nodular fasciitis,diagnosis,,
myofibroblastoma_of_breast,mesenchymal,fibroblastic_myofibroblastic_tumor_of_breast,Myofibroblastoma,diagnosis,,
